iter	Passed	Remaining
819	2524	554
820	2527	550
821	2533	548
822	2536	545
823	2538	542
824	2540	538
825	2543	535
826	2548	533
827	2550	529
828	2553	526
829	2554	523
830	2556	519
831	2558	516
832	2563	513
833	2566	510
834	2568	507
835	2569	504
836	2572	500
837	2577	498
838	2579	494
839	2581	491
840	2583	488
841	2585	485
842	2587	481
843	2593	479
844	2595	476
845	2597	472
846	2599	469
847	2602	466
848	2606	463
849	2608	460
850	2611	457
851	2613	453
852	2615	450
853	2617	447
854	2623	444
855	2625	441
856	2628	438
857	2630	435
858	2631	431
859	2633	428
860	2638	425
861	2641	422
862	2643	419
863	2644	416
864	2647	413
865	2653	410
866	2659	407
867	2661	404
868	2663	401
869	2668	398
870	2671	395
871	2673	392
872	2674	389
873	2677	385
874	2681	383
875	2683	379
876	2686	376
877	2687	373
878	2689	370
879	2691	367
880	2692	363
881	2697	360
882	2699	357
883	2701	354
884	2703	351
885	2705	348
886	2706	344
887	2710	341
888	2712	338
889	2715	335
890	2717	332
891	2718	329
892	2720	325
893	2722	322
894	2726	319
895	2728	316
896	2730	313
897	2732	310
898	2733	307
899	2735	303
900	2737	300
901	2741	297
902	2743	294
903	2745	291
904	2746	288
905	2748	285
906	2750	281
907	2751	278
908	2757	276
909	2758	272
910	2760	269
911	2762	266
912	2764	263
913	2765	260
914	2769	257
915	2771	254
916	2773	251
917	2775	247
918	2776	244
919	2778	241
920	2780	238
921	2783	235
922	2787	232
923	2789	229
924	2791	226
925	2792	223
926	2794	220
927	2796	216
928	2799	213
929	2801	210
930	2802	207
931	2804	204
932	2806	201
933	2807	198
934	2810	195
935	2812	192
936	2815	189
937	2817	186
938	2819	183
939	2821	180
940	2822	176
941	2824	173
942	2825	170
943	2830	167
944	2831	164
945	2833	161
946	2835	158
947	2836	155
948	2838	152
949	2839	149
950	2842	146
951	2844	143
952	2846	140
953	2847	137
954	2849	134
955	2851	131
956	2852	128
957	2854	125
958	2856	122
959	2859	119
960	2860	116
961	2862	113
962	2864	110
963	2866	107
964	2867	104
965	2869	100
966	2873	98
967	2875	95
968	2876	92
969	2878	89
970	2879	86
971	2881	83
972	2883	80
973	2884	77
974	2887	74
975	2889	71
976	2891	68
977	2893	65
978	2894	62
979	2896	59
980	2897	56
981	2899	53
982	2902	50
983	2904	47
984	2906	44
985	2907	41
986	2909	38
987	2911	35
988	2913	32
989	2914	29
990	2917	26
991	2919	23
992	2920	20
993	2922	17
994	2924	14
995	2925	11
996	2927	8
997	2928	5
998	2931	2
999	2933	0
