iter	Passed	Remaining
932	2185	156
933	2186	154
934	2188	152
935	2189	149
936	2191	147
937	2193	144
938	2194	142
939	2197	140
940	2199	137
941	2201	135
942	2204	133
943	2206	130
944	2208	128
945	2210	126
946	2214	123
947	2215	121
948	2217	119
949	2219	116
950	2221	114
951	2222	112
952	2224	109
953	2226	107
954	2228	105
955	2230	102
956	2232	100
957	2233	97
958	2235	95
959	2237	93
960	2239	90
961	2242	88
962	2244	86
963	2246	83
964	2248	81
965	2250	79
966	2252	76
967	2255	74
968	2258	72
969	2260	69
970	2261	67
971	2263	65
972	2265	62
973	2267	60
974	2270	58
975	2272	55
976	2274	53
977	2275	51
978	2277	48
979	2279	46
980	2281	44
981	2283	41
982	2285	39
983	2287	37
984	2289	34
985	2291	32
986	2293	30
987	2294	27
988	2296	25
989	2299	23
990	2301	20
991	2303	18
992	2304	16
993	2306	13
994	2308	11
995	2310	9
996	2311	6
997	2314	4
998	2316	2
999	2317	0
